Application number,Applicant,Year of application,Patent system
EP3786290A1,MAX PLANCK SOCIETY,2021,EPO
EP3790394A1,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY; NEW BRUNSWICK, NJ",2021,EPO
EP3790891A1,BELLICUM PHARMACEUTICALS INC,2021,EPO
EP3793590A1,UNIVERSITY OF MINNESOTA,2021,EPO
EP3808741A1,AUSTRIAN ACADEMY OF SCIENCES,2021,EPO
EP3814370A2,ALTIUS INSTITUTE FOR BIOMEDICAL SCIENCES,2021,EPO
EP3827080A1,VIRIDOS,2021,EPO
EP3833689A2,JCR PHARMACEUTICALS CO LTD,2021,EPO
EP3833780A1,UNIVERSITY OF NEW MEXICO,2021,EPO
EP3851534A1,NAGOYA INSTITUTE OF TECHNOLOGY,2021,EPO
EP3852813A2,AERA HERPEUTICS INC [US],2021,EPO
EP3862437A1,SEIKAGAKU CORPORATION,2021,EPO
EP3864152A1,PEKIN UNIVERSITY,2021,EPO
EP3874033A1,CODEXIS INC [US],2021,EPO
EP3889256A1,UTILIZATION OF CARBON DIOXIDE INSTITUTE,2021,EPO
EP3894422A1,KHONA SCIENT LLC [US],2021,EPO
JP1982126455A,UNIVERSITY OF CALIFORNIA,1982,JPO
JP1984205997A,NOVARTIS,1984,JPO
JP1985176588A,SEIKAGAKU CORPORATION,1985,JPO
JP1986224989A,UNIV GEORGIA,1986,JPO
JP1986280437A,SUNTORY LTD,1986,JPO
JP1987143693A,KYOWA HAKKO,1987,JPO
JP1987224297A,KYOWA HAKKO,1987,JPO
JP1987234096A,KYOWA HAKKO,1987,JPO
JP1987272991A,TEIJIN LTD,1987,JPO
JP1988304997A,KYOWA HAKKO,1988,JPO
JP1989160485A,ADVANCE CO LTD,1989,JPO
JP1990128692A,YAKULT HONSHA CO LTD,1990,JPO
JP1990209894A,TAKEDA CHEMICAL INDUSTRIES LTD,1990,JPO
JP1990243700A,NISSUI,1990,JPO
JP1991061494A,TAKEDA CHEMICAL INDUSTRIES LTD,1991,JPO
JP1991180193A,TEIJIN LTD,1991,JPO
JP1992368397A,ISHIHARA SANGYO KAISHA LTD,1992,JPO
JP1993049479A,SEKISUI CHEMICAL,1993,JPO
JP1993076356A,TAKEDA CHEMICAL INDUSTRIES LTD,1993,JPO
JP1993207883A,KYOWA HAKKO,1993,JPO
JP1993255393A,ISHIHARA SANGYO KAISHA LTD,1993,JPO
JP1993268969A,KYOWA HAKKO,1993,JPO
JP1993276957A,MITSUI CHEMICALS INC,1993,JPO
JP1993284999A,HITACHI LTD,1993,JPO
JP1994007171A,CHISSO CORPORATION,1994,JPO
JP1994046864A,SAGAMI CHEM RES CENTER,1994,JPO
JP1994078777A,KANSAI ELECTRIC POWER CO INC:THE,1994,JPO
JP1994253835A,MITSUBISHI,1994,JPO
JP1994253855A,TAKARA HOLDINGS,1994,JPO
JP1994253862A,HIGETA SHOYU CO LTD,1994,JPO
JP1995023787A,AJINOMOTO,1995,JPO
JP1995070196A,ENEOS,1995,JPO
JP1995079782A,KANSAI ELECTRIC POWER CO INC:THE,1995,JPO
JP1995170985A,MITSUBISHI,1995,JPO
JP1995184660A,TAKARA HOLDINGS,1995,JPO
JP1995298881A,TAKARA HOLDINGS,1995,JPO
JP1995327685A,TAKARA HOLDINGS,1995,JPO
JP1996009979A,TAKARA HOLDINGS,1996,JPO
JP1996070863A,TOYOBO CO LTD,1996,JPO
JP1996070864A,TOYOBO CO LTD,1996,JPO
JP1996089241A,ASAHI,1996,JPO
JP1996242867A,SAGAMI CHEM RES CENTER,1996,JPO
JP1997308456A,AJINOMOTO,1997,JPO
JP1997327297A,ASAHI,1997,JPO
JP1998023891A,"CHIKYU KANKYO SANGYO GIJUTSU KENKYU KIKO, SUMITOMO CHEM CO LTD",1998,JPO
JP1998234382A,DEINABETSUKU KENKYUSHO:KK,1998,JPO
JP1998248581A,OTSUKA PHARMACEUTICAL,1998,JPO
JP1998276786A,TAKEDA CHEMICAL INDUSTRIES LTD,1998,JPO
JP1998327864A,MITSUBISHI,1998,JPO
JP1999004695A,HAYASHIBARA BIOCHEM LAB INC,1999,JPO
JP1999009287A,GSK PLC,1999,JPO
JP1999035493A,SUMITOMO ELECTRIC INDUSTRIES,1999,JPO
JP1999075872A,GSK PLC,1999,JPO
JP1999103866A,GSK PLC,1999,JPO
JP1999127872A,JAPAN TOBACCO INC,1999,JPO
JP1999146786A,SUMITOMO ELECTRIC INDUSTRIES,1999,JPO
JP1999169175A,MARINE BIOTECHNOLOGY INST,1999,JPO
JP1999178576A,NATL AGRICULTURE FOREST & FISHERIES RES COUNCIL,1999,JPO
JP1999178578A,OTSUKA PHARMACEUTICAL,1999,JPO
JP1999187882A,ONO PHARMACEUTICAL CO,1999,JPO
JP1999199507A,ROCHE DIAGNOSTICS,1999,JPO
JP1999240900A,FUJIREBIO INC,1999,JPO
JP1999243967A,MARINE BIOTECHNOLOGY INST,1999,JPO
JP1999308993A,"TASUKU HONJO,ONO PHARMACEUT CO LTD",1999,JPO
JP1999332408A,MITSUBISHI,1999,JPO
JP1999346770A,MITSUI CHEMICALS INC,1999,JPO
JP2000041668A,AIST,2000,JPO
JP2000050870A,AIST,2000,JPO
JP2000050874A,JAPAN INTERNATIONAL RESEARCH CENTER FOR AGRICULTURAL SCIENCE,2000,JPO
JP2000060570A,"CANON INC,MARINE BIOTECHNOLOGY INST",2000,JPO
JP2000060572A,AIST,2000,JPO
JP2000083673A,MARINE BIOTECHNOLOGY INST,2000,JPO
JP2000157278A,BIOMOLECULAR ENGINEERING RESEARCH INSTITUTE,2000,JPO
JP2000245480A,AIST,2000,JPO
JP2000279173A,AIST,2000,JPO
JP2000300277A,NOVARTIS,2000,JPO
JP2000342278A,"CHOKO SHOYU MISO KYODO KUMIAI,JST",2000,JPO
JP2000350584A,KK RRF KENKYUSHO,2000,JPO
JP2000350585A,TOKYO GAS CO LTD,2000,JPO
JP2000506017A,DIBERUSA CORP,2000,JPO
JP2000512842A,DIBERUSA CORP,2000,JPO
JP2000513927A,QUEEN'S UNIVERSITY AT KINGSTON,2000,JPO
JP2000514310A,OREGON HEALTH SCIENCES UNIVERSITY,2000,JPO
JP2000516093A,AMGEN,2000,JPO
JP2000516443A,EXELIXIS,2000,JPO
JP2000516475A,TAKEDA CHEMICAL INDUSTRIES LTD,2000,JPO
JP2001011093A,UNITED STATES OF AMERICA,2001,JPO
JP2001011097A,FUJIREBIO INC,2001,JPO
JP2001069983A,UNITIKA LTD,2001,JPO
JP2001078786A,BASF,2001,JPO
JP2001078791A,AIST,2001,JPO
JP2001097884A,"SABURO HARA,NATIONAL RESEARCH INSTITUTE OF AQUACULTURE",2001,JPO
JP2001169780A,AIST,2001,JPO
JP2001169793A,THE JOHNSON & JOHNSON,2001,JPO
JP2001211888A,AKZO NOBEL NV,2001,JPO
JP2001245677A,"SRL INC,MARINE BIOTECHNOLOGY INST",2001,JPO
JP2001299348A,AIST,2001,JPO
JP2001321180A,TOSOH CORPORATION,2001,JPO
JP2001505435A,"BARENTIS INC,BAYLOR COLLEGE OF MEDICINE",2001,JPO
JP2001506588A,MERCK,2001,JPO
JP2001507561A,GSK PLC,2001,JPO
JP2001510983A,BASF,2001,JPO
JP2001512678A,BASF,2001,JPO
JP2001512974A,REGENERON PHARMA,2001,JPO
JP2001518793A,PFIZER,2001,JPO
JP2001519142A,AMGEN,2001,JPO
JP2001519666A,PFIZER,2001,JPO
JP2001519667A,PFIZER,2001,JPO
JP2001526526A,HOLOGIC INC,2001,JPO
JP2001527389A,ROCHE DIAGNOSTICS,2001,JPO
JP2001527390A,CIBLEX CORP,2001,JPO
JP2002045182A,RIKEN,2002,JPO
JP2002045187A,MITSUBISHI,2002,JPO
JP2002045189A,RIKEN,2002,JPO
JP2002051788A,AIST,2002,JPO
JP2002085068A,SUMITOMO CHEMICAL,2002,JPO
JP2002101882A,HOKKAIDO TECHNOLOGY LICENSING OFFICE CO LTD,2002,JPO
JP2002101886A,JST,2002,JPO
JP2002119288A,KYOWA HAKKO,2002,JPO
JP2002142776A,HIGETA SHOYU CO LTD,2002,JPO
JP2002153279A,OKAZAKI NATIONAL RESEARCH INSTITUTES,2002,JPO
JP2002153285A,TOSOH CORPORATION,2002,JPO
JP2002171984A,MARINE BIOTECHNOLOGY INST,2002,JPO
JP2002191367A,KANEKA CORP,2002,JPO
JP2002199888A,"DIRECTOR GENERAL OF AGENCY OF INDUSTRIAL SCIENCE AND TECHNOLOGY, RAKUTO KASEI INDUSTRIAL CO LTD",2002,JPO
JP2002209586A,SEIKAGAKU CORPORATION,2002,JPO
JP2002253227A,MARINE BIOTECHNOLOGY INST,2002,JPO
JP2002253244A,AIST,2002,JPO
JP2002253265A,TOYOBO CO LTD,2002,JPO
JP2002262883A,SEKISUI CHEMICAL,2002,JPO
JP2002281973A,GSK PLC,2002,JPO
JP2002330767A,TAKARA HOLDINGS,2002,JPO
JP2002360259A,OSAKA UNIVERSITY,2002,JPO
JP2002501083A,TAKEDA CHEMICAL INDUSTRIES LTD,2002,JPO
JP2002502616A,UNIVERSITY OF UTAH,2002,JPO
JP2002503478A,MAXYGEN INC,2002,JPO
JP2002504364A,ROCHE DIAGNOSTICS,2002,JPO
JP2002507410A,PROLUME LTD,2002,JPO
JP2002508945A,UNIVERSITY OF UTAH,2002,JPO
JP2002510205A,BAYER,2002,JPO
JP2002510483A,"SEOK KWON KANG,YEON HO JE,BYUNG RAE JIN",2002,JPO
JP2002511755A,WAGENINGEN UNIVERSOTY,2002,JPO
JP2002517507A,MERCK,2002,JPO
JP2002519051A,BAYER,2002,JPO
JP2002519385A,ASSOCIATES OF CAPE COD INC,2002,JPO
JP2002527093A,"COGNETIX INC,UNIVERSITY OF UTAH",2002,JPO
JP2002527761A,THERMO FISHER SCIENTIFIC,2002,JPO
JP2002528072A,JOHNS HOPKINS UNIVERSITY,2002,JPO
JP2002531060A,BASF,2002,JPO
JP2002533068A,BOYCE THOMPSON INSTITUTE FOR PLANT RESEARCH,2002,JPO
JP2002534123A,OMEGATECH INC,2002,JPO
JP2002534996A,UNIVERSITY OF UTAH,2002,JPO
JP2002537791A,"TIMOTHY J O'BRIEN,LOWELL J UNDERWOOD",2002,JPO
JP2002538835A,"HANS KONRAD SCHACKERT,MATTHIAS HAHN,HEIKE GOERGENS",2002,JPO
JP2002539822A,NOVOZYMES,2002,JPO
JP2002541805A,GSK PLC,2002,JPO
JP2003052380A,TAKARA HOLDINGS,2003,JPO
JP2003116582A,TAKEDA CHEMICAL INDUSTRIES LTD,2003,JPO
JP2003155298A,SEIKAGAKU CORPORATION,2003,JPO
JP2003159075A,TOSOH CORPORATION,2003,JPO
JP2003180370A,OKAYAMA UNIVERSITY,2003,JPO
JP2003210182A,"RAKUTO KASEI INDUSTRIAL CO LTD, AIST",2003,JPO
JP2003245074A,OKAYAMA UNIVERSITY,2003,JPO
JP2003245075A,OKAYAMA UNIVERSITY,2003,JPO
JP2003304870A,"NANCY SCHOENBRUNNER,THOMAS MYERS,DAVID GELFAND",2003,JPO
JP2003501109A,UNIVERSITY OF UTAH,2003,JPO
JP2003505071A,PROMEGA CORPORATION,2003,JPO
JP2003505082A,ROCHE DIAGNOSTICS,2003,JPO
JP2003506074A,AGILENT TECHNOLOGIES,2003,JPO
JP2003509067A,CNRS,2003,JPO
JP2003510052A,GENECOPOEIA,2003,JPO
JP2003511015A,"BECTON, DICKINSON AND COMPANY",2003,JPO
JP2003511061A,ACTIVE BIOTECH AB,2003,JPO
JP2003512837A,EBARA CORPORATION,2003,JPO
JP2003512859A,MERCK,2003,JPO
JP2003513634A,ACGT PROGENOMICS,2003,JPO
JP2003515525A,"EAST CAROLINA UNIVERSITY,JONATHAN W NYCE",2003,JPO
JP2003516749A,GOVERNMENT OF CHINA,2003,JPO
JP2003517817A,UNIVERSITY OF CALIFORNIA,2003,JPO
JP2003518246A,UNIVERSITY OF CALIFORNIA,2003,JPO
JP2003518923A,MEMORIAL SLOAN-KETTERING CANCER CENTER (US),2003,JPO
JP2003523746A,BASF,2003,JPO
JP2003523769A,VERTEX PHARMACEUTICALS,2003,JPO
JP2003525027A,CEPTYR INC,2003,JPO
JP2003525582A,UNIVERSITY OF UTAH,2003,JPO
JP2003525605A,AGILENT TECHNOLOGIES,2003,JPO
JP2003526327A,"BASSLER L BONNIE,MICHAEL G SURETTE",2003,JPO
JP2003526334A,ENTERPRISE IRELAND (BIORESEARCH IRELAND),2003,JPO
JP2003526364A,"BRUCE J BRYAN,CHRISTOPHER SZENT-GYORGYI,WILLIAM SZCZEPANIAK",2003,JPO
JP2003526608A,THERMO FISHER SCIENTIFIC,2003,JPO
JP2003532698A,PRINCETON UNIVERSITY,2003,JPO
JP2003533178A,UNIVERSITY OF UTAH,2003,JPO
JP2003534774A,CNRS,2003,JPO
JP2003534775A,VERTEX PHARMACEUTICALS,2003,JPO
JP2003535567A,"JOHN W SHULTZ,MARTIN K LEWIS,DONNA LIEPPE,MICHELLE MANDREKAR, DANIEL KEPHART,RICHARD B RHODES,CHRISTINE A ANDREWS, JAMES R HARTNETT, TRENT GU,RYAN J OLSON,KEITH W WOOD,ROY WELCH",2003,JPO
JP2004000189A,BASF,2004,JPO
JP2004008123A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2004,JPO
JP2004016216A,AOMORI PREFECTURE,2004,JPO
JP2004024095A,SEKISUI CHEMICAL,2004,JPO
JP2004026714A,SEKISUI CHEMICAL,2004,JPO
JP2004033161A,TOSOH CORPORATION,2004,JPO
JP2004033162A,TOSOH CORPORATION,2004,JPO
JP2004041145A,AIST,2004,JPO
JP2004041192A,TAISHO PHARMACEUTICAL CO LTD,2004,JPO
JP2004057127A,JST,2004,JPO
JP2004057129A,JST,2004,JPO
JP2004081199A,SEKISUI CHEMICAL,2004,JPO
JP2004085542A,SEKISUI CHEMICAL,2004,JPO
JP2004105091A,AIST,2004,JPO
JP2004113234A,OKAYAMA UNIVERSITY,2004,JPO
JP2004121069A,BOSTON UNIVERSITY,2004,JPO
JP2004125786A,AIST,2004,JPO
JP2004166577A,KYOTO UNIVERSITY,2004,JPO
JP2004180668A,TAKEDA CHEMICAL INDUSTRIES LTD,2004,JPO
JP2004187643A,TOYOTA,2004,JPO
JP2004187652A,ATTO CORPRATION,2004,JPO
JP2004201547A,MITSUBISHI,2004,JPO
JP2004201684A,TAI-JAY CHANG,2004,JPO
JP2004229612A,JST,2004,JPO
JP2004248506A,NORAK BIOSCIENCES INC,2004,JPO
JP2004248636A,AIST,2004,JPO
JP2004254627A,TOHOKU TECHNO ARCH CO LTD,2004,JPO
JP2004254702A,DOHENY EYE INSTITUTE,2004,JPO
JP2004261141A,AIST,2004,JPO
JP2004290054A,DAIKIN INDUSTRIES,2004,JPO
JP2004298127A,AIST,2004,JPO
JP2004298200A,TAKARA HOLDINGS,2004,JPO
JP2004329217A,TAKARA HOLDINGS,2004,JPO
JP2004344033A,AIST,2004,JPO
JP2004344160A,AIST,2004,JPO
JP2004357575A,DAIKIN INDUSTRIES,2004,JPO
JP2004500052A,AGILENT TECHNOLOGIES,2004,JPO
JP2004501375A,MERCK,2004,JPO
JP2004502410A,UNIV OREGON [US],2004,JPO
JP2004504043A,GOVERNMENT OF CHINA,2004,JPO
JP2004508018A,"JAMES M BULLARD,NEBOJSA JANJIC,CHARLES S MCHENRY,REPLIDYNE INC",2004,JPO
JP2004509646A,DALIA COHEN ET AL,2004,JPO
JP2004511232A,ARCTICZYMES,2004,JPO
JP2004512022A,GSK PLC,2004,JPO
JP2004512023A,GSK PLC,2004,JPO
JP2004512025A,UNIVERSITY OF UTAH,2004,JPO
JP2004512044A,GSK PLC,2004,JPO
JP2004513627A,MARICAL,2004,JPO
JP2004514431A,CARGILL INC,2004,JPO
JP2004516017A,COOKE INC,2004,JPO
JP2004516828A,BAYER,2004,JPO
JP2004518693A,VALENTIS INC,2004,JPO
JP2004520807A,PROMEGA CORPORATION,2004,JPO
JP2004521606A,HOLOGIC INC,2004,JPO
JP2004521608A,ABBOTT LABORATORIES,2004,JPO
JP2004523211A,BASF,2004,JPO
JP2004523219A,BASF,2004,JPO
JP2004523232A,PRIMAGEN HOLDING B V,2004,JPO
JP2004524031A,CAYLA,2004,JPO
JP2004524853A,THE SECRETARY OF STATE FOR DEFENCE,2004,JPO
JP2004526441A,PFIZER,2004,JPO
JP2004528008A,AMGEN,2004,JPO
JP2004530418A,BASF,2004,JPO
JP2004530423A,UNIVERSITY OF CALIFORNIA,2004,JPO
JP2004531215A,PFIZER,2004,JPO
JP2004531252A,"AARON KAPLAN,JUDY LIEMAN-HURWITZ,SHIMON RACHMILEVITCH, DANIELLA SCHATZ, RON MITTLER",2004,JPO
JP2004532001A,INSTITUT PASTEUR,2004,JPO
JP2004532606A,TAKARA HOLDINGS,2004,JPO
JP2004533214A,UNIVERSITY OF PITTSBURGH,2004,JPO
JP2004533215A,UNIVERSITY OF PITTSBURGH,2004,JPO
JP2004533267A,BASF,2004,JPO
JP2004534537A,"BECTON, DICKINSON AND COMPANY",2004,JPO
JP2004535767A,MICHIGAN STATE UNIVERSITY,2004,JPO
JP2004535773A,GENE BRIDGES GMBH,2004,JPO
JP2004536571A,TAKARA HOLDINGS,2004,JPO
JP2004537253A,UNIVERSITY OF UTAH,2004,JPO
JP2004537261A,QIAGEN GMBH (DE),2004,JPO
JP2005013028A,AIST,2005,JPO
JP2005027572A,AIST,2005,JPO
JP2005034008A,KYOTO UNIVERSITY,2005,JPO
JP2005046066A,SEKISUI CHEMICAL,2005,JPO
JP2005046067A,SEKISUI CHEMICAL,2005,JPO
JP2005046068A,SEKISUI CHEMICAL,2005,JPO
JP2005046102A,"WADA RINGYO CORPORATION,TOSHIHISA OHSHIMA,SHUICHIRO GODA",2005,JPO
JP2005046135A,TORAY,2005,JPO
JP2005065540A,TOYOBO CO LTD,2005,JPO
JP2005065618A,MARINE BIOTECHNOLOGY INST,2005,JPO
JP2005082537A,SEKISUI CHEMICAL,2005,JPO
JP2005110591A,SEKISUI CHEMICAL,2005,JPO
JP2005112726A,"MEIJI SEIKA KAISHA LTD,TAKASHI AOKI",2005,JPO
JP2005117969A,AIST,2005,JPO
JP2005124488A,AIST,2005,JPO
JP2005160301A,JST,2005,JPO
JP2005192492A,MEXT,2005,JPO
JP2005198600A,SHIZUOKA TECHNOLOGY LICENSING ORGANIZATION,2005,JPO
JP2005229990A,AOMORI PREFECTURE,2005,JPO
JP2005245202A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2005,JPO
JP2005245465A,TAKARA HOLDINGS,2005,JPO
JP2005253432A,SEKISUI CHEMICAL,2005,JPO
JP2005278527A,AIST,2005,JPO
JP2005287402A,AIST,2005,JPO
JP2005296005A,FUKUI PREFECTURE,2005,JPO
JP2005312445A,SEKISUI CHEMICAL,2005,JPO
JP2005333845A,TOKYO METROPOLITAN ORGANIZATION FOR MEDICAL RESEARCH,2005,JPO
JP2005500049A,NOVARTIS,2005,JPO
JP2005500821A,HOLOGIC INC,2005,JPO
JP2005501525A,UNIVERSITY OF CALIFORNIA,2005,JPO
JP2005502316A,THE HORTICULTURE AND FOOD RESEARCH INSTITUTE OF NEW ZEALAND LIMITED,2005,JPO
JP2005502322A,SCRIPPS RESEARCH INSTITUTE,2005,JPO
JP2005502323A,GE HEALTHCARE,2005,JPO
JP2005503114A,HOLOGIC INC,2005,JPO
JP2005503120A,MIT,2005,JPO
JP2005503153A,GOVERNMENT OF CHINA,2005,JPO
JP2005503770A,ABBOTT LABORATORIES,2005,JPO
JP2005505278A,MARICAL,2005,JPO
JP2005507641A,LARGE SCALE BIOLOGY CORPORATION,2005,JPO
JP2005507650A,"GARY R BRIGHT,D DAVID PREMKUMAR",2005,JPO
JP2005507657A,TAKARA HOLDINGS,2005,JPO
JP2005507673A,"THOMAS JOSEPH LOGAN,KATHERINE GALVIN,MIYOUNG CHUN",2005,JPO
JP2005509412A,RSR LIMITED,2005,JPO
JP2005510225A,SAGRES DISCOVERY,2005,JPO
JP2005512560A,AGILENT TECHNOLOGIES,2005,JPO
JP2005512574A,ROCHE DIAGNOSTICS,2005,JPO
JP2005514072A,AGILENT TECHNOLOGIES,2005,JPO
JP2005514074A,GENOMAR,2005,JPO
JP2005515165A,UNIVERSITY OF ABERDEEN,2005,JPO
JP2005517381A,UNIVERSITY OF CALIFORNIA,2005,JPO
JP2005518182A,"FLORIGENE LIMITED,THE UNIVERSITY OF QUEENSLAND",2005,JPO
JP2005518223A,HOLOGIC INC,2005,JPO
JP2005521400A,GOVERNMENT OF CHINA,2005,JPO
JP2005522211A,UNIVERSITY OF CALIFORNIA,2005,JPO
JP2005522218A,BASF,2005,JPO
JP2005523706A,INSERM,2005,JPO
JP2005525780A,ABBOTT LABORATORIES,2005,JPO
JP2005527194A,CHRISTIAN PETZELT,2005,JPO
JP2005527238A,ABBOTT LABORATORIES,2005,JPO
JP2005529586A,LARGE SCALE BIOLOGY CORPORATION,2005,JPO
JP2005532047A,DSM IP ASSETS BV,2005,JPO
JP2005532071A,"SCOTT B HAPPE,KATIE J LEININGER,DWIGHT B DUBOIS",2005,JPO
JP2005535290A,"SARAH C BODARY,HILLARY CLARK,BRISDELL HUNTE,JANET JACKMAN, JILL R SCHOENFELD,P MICKEY WILLIAMS,WILLIAM I WOOD,THOMAS D WU",2005,JPO
JP2005535317A,DUKE UNIVERSITY,2005,JPO
JP2005536182A,UNIVERSITY OF ABERDEEN,2005,JPO
JP2005536209A,NSERC,2005,JPO
JP2005537023A,BASF,2005,JPO
JP2005537025A,BASF,2005,JPO
JP2005537780A,CNRS,2005,JPO
JP2005537784A,SCRIPPS RESEARCH INSTITUTE,2005,JPO
JP2005537806A,PURATOS,2005,JPO
JP2006020650A,AIST,2006,JPO
JP2006025645A,HOKKAIDO TECHNOLOGY LICENSING OFFICE CO LTD,2006,JPO
JP2006025701A,AIST,2006,JPO
JP2006055173A,AIST,2006,JPO
JP2006109840A,"DOHENY EYE INSTITUTE RANGARAJAN SAMPATH,STEVEN HOFSTADLER,JOHN MCNEIL,STANLEY T CROOKE",2006,JPO
JP2006115786A,AIST,2006,JPO
JP2006149307A,AIST,2006,JPO
JP2006166845A,SEKISUI CHEMICAL,2006,JPO
JP2006174839A,"COREY S GOODMAN,THOMAS KIDD,KEVIN J MITCHELL,GUY TEAR, UNIVERSITY OF CALIFORNIA",2006,JPO
JP2006180701A,RIKEN,2006,JPO
JP2006180886A,SECRETARY OF AGENCY OF INDUSTRIAL SCIENCE AND TECHNOLOGY,2006,JPO
JP2006197847A,TOTO LTD,2006,JPO
JP2006197883A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2006,JPO
JP2006197947A,TOYOBO CO LTD,2006,JPO
JP2006204182A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2006,JPO
JP2006223151A,THERMOSTABLE ENZYME LABORATORY,2006,JPO
JP2006223226A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2006,JPO
JP2006223311A,AMGEN,2006,JPO
JP2006238734A,TOYOBO CO LTD,2006,JPO
JP2006238772A,NITE,2006,JPO
JP2006246767A,CHEMICALS EVALUATION AND RESEARCH INSTITUTE JAPAN,2006,JPO
JP2006262702A,AIST,2006,JPO
JP2006271239A,RIKEN,2006,JPO
JP2006271313A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2006,JPO
JP2006271375A,NITE,2006,JPO
JP2006271378A,UBE INDUSTRIES LTD,2006,JPO
JP2006271379A,TOYAMA PREFECTURE,2006,JPO
JP2006271384A,SEIKAGAKU CORPORATION,2006,JPO
JP2006280239A,SEKISUI CHEMICAL,2006,JPO
JP2006288400A,TAKARA HOLDINGS,2006,JPO
JP2006296318A,HIROSHIMA UNIVERSITY,2006,JPO
JP2006311867A,"NANCY SCHOENBRUNNER,THOMAS MYERS,DAVID GELFAND",2006,JPO
JP2006314321A,COOKE INC,2006,JPO
JP2006325490A,KYOTO UNIVERSITY,2006,JPO
JP2006340729A,TAKARA HOLDINGS,2006,JPO
JP2006345863A,PFIZER,2006,JPO
JP2006500030A,YALE UNIVERSITY,2006,JPO
JP2006501804A,THE UNIVERSITY OF CHICAGO,2006,JPO
JP2006502695A,BASF,2006,JPO
JP2006502715A,BRISTOL-MYERS SQUIBB COMPANY,2006,JPO
JP2006506952A,"BAYLOR COLLEGE OF MEDECINE,WYETH",2006,JPO
JP2006507012A,JOSEPH SORGE,2006,JPO
JP2006508678A,UNIVERSITY OF MIAMI,2006,JPO
JP2006509724A,PFIZER,2006,JPO
JP2006509819A,NOVARTIS,2006,JPO
JP2006511233A,UNIVERSITY OF BRISTOL,2006,JPO
JP2006512921A,TRANSGENRX INC,2006,JPO
JP2006513700A,ROCHE DIAGNOSTICS,2006,JPO
JP2006513726A,AGILENT TECHNOLOGIES,2006,JPO
JP2006515747A,"HILARY CLARK,JILL SCHOENFELD,MENNO VANLOOKEREN,P MICKEY WILLIAMS, WILLIAM I WOOD,THOMAS D WU",2006,JPO
JP2006516091A,"ANTIGENICS INC,UNIVERSITY OF CONNECTICUT HEALTH CENTER",2006,JPO
JP2006516094A,ROCHE DIAGNOSTICS,2006,JPO
JP2006516889A,"MICHELLE CAYOUETTE,CONNIE JO HANSEN,AMY MCCLURE,MARK DYCAICO, SVETLANA GRAMATIKOVA,MAY SUN,NELSON BARTON,JUSTIN STEGE, NAHLA ABOUSHADI",2006,JPO
JP2006517086A,TEELEOSTIN LIMITED,2006,JPO
JP2006517412A,TAKEDA CHEMICAL INDUSTRIES LTD,2006,JPO
JP2006517785A,"SUDEEPTA AGGARWAL,HILARY CLARK,AUSTIN L GURNEY,JILL SCHOENFELD, P MICKEY WILLIAMS,WILLIAM I WOOD,THOMAS D WU",2006,JPO
JP2006517794A,DSM IP ASSETS BV,2006,JPO
JP2006517799A,AVARIS AB,2006,JPO
JP2006518187A,SANOFI,2006,JPO
JP2006518599A,STEPHEN R HAMILTON,2006,JPO
JP2006520582A,BAYER,2006,JPO
JP2006521112A,AGILENT TECHNOLOGIES,2006,JPO
JP2006521787A,DU PONT,2006,JPO
JP2006524037A,DU PONT,2006,JPO
JP2006524244A,ODYSSEY THERAPEUTICS,2006,JPO
JP2007006910A,PROMEGA CORPORATION,2007,JPO
JP2007014342A,ROCHE DIAGNOSTICS,2007,JPO
JP2007037474A,KANSAI ELECTRIC POWER CO INC:THE,2007,JPO
JP2007043963A,BIOMOLECULAR ENGINEERING RESEARCH INSTITUTE,2007,JPO
JP2007049995A,DU PONT,2007,JPO
JP2007057509A,TORAY,2007,JPO
JP2007061100A,DU PONT,2007,JPO
JP2007166921A,"THE CHUGOKU ELECTRIC POWER CO INC,HIROSHIMA UNIVERSITY",2007,JPO
JP2007167062A,AIST,2007,JPO
JP2007174945A,AIST,2007,JPO
JP2007181453A,KEIO UNIVERSITY,2007,JPO
JP2007199047A,CELLFREE SCIENCE CO LTD,2007,JPO
JP2007228897A,AIST,2007,JPO
JP2007295865A,NITE,2007,JPO
JP2007295938A,HERMANN BUJARD,2007,JPO
JP2007300899A,AIST,2007,JPO
JP2007300932A,TAKARA HOLDINGS,2007,JPO
JP2007312716A,JAPAN SCIENCE AND TECHNOLOGY AGENCY,2007,JPO
JP2007312744A,KYUSHU UNIVERSITY,2007,JPO
JP2007319063A,OKAYAMA PREFECTURE,2007,JPO
JP2007325538A,UNIVERSITY OF TSUKUBA,2007,JPO
JP2007325592A,DU PONT,2007,JPO
JP2007500016A,BIOGEN INC,2007,JPO
JP2007500504A,BASF,2007,JPO
JP2007500697A,DAVID K R KARAOLIS,2007,JPO
JP2007502605A,BASF,2007,JPO
JP2007503211A,"ORF EHF,EINAR MANTYLA,BJORN ORVAR",2007,JPO
